brand,ram,rom,Expandable Upto,Processor,Front camera,Rear Camera,Screen Size,battery,Colour,Display,lithium ion battery,avg_rating,original_price
realme,2,32,256, SC9863A ,5,8,16.51,5000,Carbon Black,HD,0,4.5,7999
OPPO,8,128,256, MediaTek Helio | P95 ,16,48,16.33,4015,Magic Blue, Full HD ,1,4.3,25990
SAMSUNG,4,64,1024, MediaTek Helio | G80 ,13,48,16.26,6000,Denim Black, HD ,1,4.3,14999
POCO,6,128,1024, MediaTek Helio | G96 ,16,64,16.33,5000,Cool Blue, Full HD AMOLED ,1,4.3,19999
POCO,4,64,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Yellow, Full HD ,1,4.4,16999
realme,6,128,1024, Qualcomm Snapdragon | 778G ,16,48,16.76,5000,Starry Glow, Full HD ,1,4.5,24999
Infinix,4,64,256, MediaTek Helio | G88 ,8,50,17.22,5000,Polar Black, Full HD ,1,4.3,13999
Infinix,4,64,256, MediaTek Helio | G88 ,8,50,17.22,5000,7° Purple, Full HD ,1,4.3,13999
Infinix,4,64,256, MediaTek Helio | G88 ,8,50,17.22,5000,Green Wave, Full HD ,1,4.3,13999
POCO,6,64,1024, MediaTek Helio | G96 ,16,64,16.33,5000,Power Black, Full HD AMOLED ,1,4.3,17999
realme,4,64,256, MediaTek Helio | G96 ,16,50,16.76,5000,Space Black, Full HD ,0,4.5,15999
realme,6,128,256, MediaTek Helio | G96 ,16,50,16.76,5000,Space Black, Full HD ,0,4.4,17999
Mi,4,64,1024, Qualcomm SM6225 Snapdragon 680 ,13,50,16.33,5000,Horizon Blue, Full HD ,0,4.4,17999
Infinix,8,128,512, MediaTek Helio | G96 ,16,50,17.65,5000,Mithril Grey, Full HD ,1,4.3,18999
Infinix,8,128,512, MediaTek Helio | G96 ,16,50,17.65,5000,Haze Green, Full HD ,1,4.3,18999
Infinix,8,128,512, MediaTek Helio | G96 ,16,50,17.65,5000,Symphony Cyan, Full HD ,1,4.3,18999
realme,4,64,256, SC9863A ,5,8,16.51,5000,Mint Green,HD,0,4.3,9999
Infinix,4,128,256, MediaTek Helio | G88 ,8,50,17.22,5000,7° Purple, Full HD ,1,4.3,14999
realme,8,128,1024, MediaTek Dimensity | 810 5G ,16,64,16.51,5000,Universe Purple, Full HD ,0,4.4,22999
Infinix,6,64,512, MediaTek Helio | G96 ,16,50,17.65,5000,Haze Green, Full HD ,1,4.3,16999
POCO,6,128,1024, MediaTek Helio | G96 ,16,64,16.33,5000,Power Black, Full HD AMOLED ,1,4.3,19999
Infinix,6,64,512, MediaTek Helio | G96 ,16,50,17.65,5000,Symphony Cyan, Full HD ,1,4.3,16999
POCO,3,32,512, MediaTek Helio | G35 ,5,13,16.59,5000,Lime Green, HD ,1,4.3,9999
vivo,4,64,1024, MediaTek Helio | P35 ,8,13,16.54,5000,Midnight Blue, HD ,1,4.3,17990
Infinix,4,64,256, MediaTek Helio | G88 ,8,50,17.22,5000,Silver Wave, Full HD ,1,4.3,13999
REDMI,6,64,512, MediaTek Helio | G95 ,13,64,16.33,5000,Shadow Black, Full HD ,1,4.3,16999
realme,6,64,256, MediaTek Helio | G95 ,16,48,16.51,5000,Racing Silver, Full HD ,0,4.3,15999
MOTOROLA,4,64,1024, Qualcomm Snapdragon | 480 Pro ,13,50,17.27,5000,Indigo Blue, Full HD ,1,4.2,17999
GIONEE,2,32,256, Unisoc | T610  ,5,13,15.49,5000,Red, HD ,1,4,7990
GIONEE,2,32,256, Unisoc | T610  ,5,13,15.49,5000,Royal Blue, HD ,1,4,7990
realme,3,32,256, MediaTek Helio | G35 ,5,13,16.51,5000,Cross Black, HD ,0,4.4,9999
realme,3,32,256, MediaTek Helio | G35 ,5,13,16.51,5000,Cross Blue, HD ,0,4.4,9999
realme,4,64,256, SC9863A ,5,8,16.51,5000,Carbon Black, HD ,0,4.3,9999
POCO,8,128,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Cool Blue, Full HD ,1,4.3,21999
OPPO,4,128,256, MediaTek Helio | P35 ,16,13,16.54,5000,Moonlight Gold, HD ,1,4.3,15990
vivo,8,128,1024, MediaTek Dimensity | 920 ,50,64,16.36,4200,Sunshine Gold, Full HD ,1,4.4,34990
vivo,4,64,256, MediaTek Helio | P35 ,8,13,16.54,5000,Obsidian Black, HD ,1,4.3,16990
Mi,3,32,512, MediaTek Helio | G25 ,5,13,16.59,5000,Sea Blue, HD ,0,4.3,9499
realme,4,64,256, MediaTek Helio | G95 ,16,48,16.51,5000,Racing Silver, Full HD ,0,4.4,14999
realme,6,128,256, MediaTek Helio | G95 ,16,48,16.51,5000,Racing Blue, Full HD ,0,4.3,16999
realme,6,128,256, MediaTek Helio | G95 ,16,48,16.51,5000,Racing Silver, Full HD ,0,4.3,16999
SAMSUNG,6,128,1024, MediaTek Dimensity | 700 (MT6833V) ,8,48,16.76,5000,Violet, Full HD ,1,4.2,20499
MOTOROLA,4,64,1024, MediaTek Helio | G25 ,5,13,16.54,5000,Coral Red, HD ,0,4.1,11999
REDMI,4,64,512, MediaTek Helio | G80 ,8,13,16.59,5020,Mint Green, Full HD ,0,4.4,11999
SAMSUNG,6,128,1024, Dimensity 720 5G ,13,48,16.51,5000,Sky blue, HD ,0,4.2,23999
Infinix,4,128,256, MediaTek Helio | G88 ,8,50,17.22,5000,Green Wave, Full HD ,1,4.3,14999
Infinix,4,128,256, MediaTek Helio | G88 ,8,50,17.22,5000,Polar Black, Full HD ,1,4.3,14999
Infinix,4,128,256, MediaTek Helio | G88 ,8,50,17.22,5000,Silver Wave, Full HD ,1,4.3,14999
SAMSUNG,4,64,1024, MediaTek Helio | G80 ,20,64,16.26,6000,Light Blue, Full HD ,0,4.2,16999
POCO,4,64,512, Qualcomm Snapdragon | 720G ,16,48,16.94,5000,Green and Greener, Full HD ,1,4.3,16999
Mi,3,32,512, MediaTek Helio | G25 ,5,13,16.59,5000,Nature Green, HD ,0,4.3,9499
REDMI,4,64,1024, Qualcomm Snapdragon | 680 ,5,50,17.02,6000,Midnight Black, HD ,1,4.6,14999
POCO,8,128,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Power Black, Full HD ,1,4.3,21999
Itel,2,32,1024, Quad Core ,5,5,15.49,3000,Gradation Purple, HD ,0,3.9,6999
Itel,2,32,1024, Quad Core ,5,5,15.49,3000,Gradation Black, HD ,0,3.9,7499
Itel,2,32,1024, Quad Core ,5,5,15.49,3000,Gradation Green, HD ,0,3.9,7499
Mi,6,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Camo Green, Full HD AMOLED ,1,4.2,29999
Mi,6,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Stealth Black, Full HD AMOLED ,1,4.2,29999
Mi,6,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Purple Mist, Full HD AMOLED ,1,4.2,29999
REDMI,6,128,512, Helio G88 ,8,50,16.51,6000,Phantom Black, Full HD ,0,4.2,16999
Micromax,4,64,256, MediaTek Helio | G85 (MT6769V/CZ) ,16,48,16.94,5000,Green, Full HD ,1,4.2,15499
REDMI,8,128,512, MediaTek Helio | G95 ,13,64,16.33,5000,Cosmic Purple, Full HD ,1,4.2,20999
Tecno,4,64,512, Helio G80 ,8,48,16.76,5000,Spruce Green, HD ,0,4.2,12999
Mi,6,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Pacific Pearl, Full HD AMOLED ,1,4.2,29999
GIONEE,3,32,256, Unisoc | T610  ,8,13,16.56,6000,Blue, HD ,1,3.8,9999
SAMSUNG,6,128,1024, MediaTek Helio | G80 ,20,64,16.26,6000,Black, Full HD ,0,4.3,18999
GIONEE,2,32,256, Unisoc | T610  ,5,13,15.49,5000,Black, HD ,1,4,7990
SAMSUNG,6,128,1024, Qualcomm SM7325 Snapdragon ,32,64,17.02,5000,Icy Blue, Full HD ,0,4.3,34999
GIONEE,3,32,256, Unisoc | T610  ,8,13,16.56,6000,Red, HD ,1,3.8,9999
Mi,3,32,512, MediaTek Helio | G25 ,5,13,16.59,5000,Midnight Black, HD ,0,4.3,9499
vivo,8,128,1024, Qualcomm Snapdragon | 680 ,16,50,16.71,5000,Mirror Black, Full HD ,1,4.3,22990
Mi,8,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Purple Mist, Full HD AMOLED ,1,4.2,31999
Infinix,8,256,256, MediaTek Helio | G95 ,16,64,17.65,5000,95° Black, Full HD ,1,4.2,19999
REDMI,4,64,512, Helio G88 ,8,50,16.51,6000,Astral White, Full HD ,0,4.2,14999
REDMI,8,128,512, MediaTek Helio | G95 ,13,64,16.33,5000,Shadow Black, Full HD ,1,4.2,20999
POCO,6,64,512, Qualcomm Snapdragon | 720G ,16,48,16.94,5000,Out of the Blue, Full HD ,1,4.4,17999
Itel,3,32,1024, Unisoc | SC9863A  ,5,8,15.46,4000,Gradation Blue, HD ,1,4.1,8299
SAMSUNG,8,128,1024, Qualcomm SM7325 Snapdragon ,32,64,17.02,5000,Icy Blue, Full HD ,0,4.3,36999
MOTOROLA,4,64,1024, Qualcomm Snapdragon | 480 Pro ,13,50,17.27,5000,Bright Silver, Full HD ,1,4.2,17999
POCO,6,64,512, MediaTek Helio | G80 ,8,13,16.59,5000,Pitch Black, Full HD ,1,4.4,12999
REDMI,4,64,1024, Qualcomm Snapdragon | 680 ,5,50,17.02,6000,Caribbean Green, HD ,1,4.6,14999
Mi,3,64,512, Qualcomm Snapdragon | 439 ,8,13,15.8,5000,Midnight Grey, HD ,1,4.2,9999
REDMI,4,64,512, MediaTek Helio | G25 ,5,13,16.59,5000,Sea Blue, HD ,1,4.3,9999
REDMI,8,128,512, MediaTek Helio | G95 ,13,64,16.33,5000,Deep Sea Blue, Full HD ,1,4.2,20999
POCO,8,128,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Yellow, Full HD ,1,4.3,21999
SAMSUNG,8,128,1024, Qualcomm Snapdragon | 720G ,32,64,16.51,4500,Awesome Blue, Full HD ,1,4.4,31999
REDMI,4,64,512, MediaTek Helio | G25 ,5,13,16.59,5000,Nature Green, HD ,1,4.3,9999
POCO,8,128,1024, MediaTek Helio | G96 ,16,64,16.33,5000,Power Black, Full HD AMOLED ,1,4.1,21999
Infinix,8,128,256, MediaTek Dimensity | 900 ,16,48,17.22,5000,Cosmic Black, Full HD ,1,4.2,24999
Mi,8,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Pacific Pearl, Full HD AMOLED ,1,4.2,31999
LAVA,3,32,512, MediaTek Helio | A20 ,5,8,16.51,5000,Striped Cyan, HD ,1,4.1,8499
Infinix,8,256,256, MediaTek Helio | G95 ,16,64,17.65,5000,Nordic Secret, Full HD ,1,4.2,19999
SAMSUNG,6,128,1024, Dimensity 720 5G ,13,48,16.51,5000,Slate Black, HD ,0,4.2,23999
Tecno,3,64,256, Unisoc | T606 ,8,13,16.76,5000,Magnet Black, HD ,0,3.8,10999
Tecno,3,64,256, Unisoc | T606 ,8,13,16.76,5000,Turquoise Cyan, HD ,0,3.8,10999
Mi,8,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Stealth Black, Full HD AMOLED ,1,4.2,31999
Mi,3,32,512, MediaTek Helio | G25 ,5,13,16.59,5000,Coral Green, HD ,0,4.3,9499
Infinix,4,64,256, MediaTek Helio | G85 ,8,48,17.32,6000,Morandi Green, HD ,1,4.3,12999
Infinix,4,64,256, MediaTek Helio | G85 ,8,48,17.32,6000,Heart Of Ocean, HD ,1,4.3,12999
SAMSUNG,4,64,1024, MediaTek Helio | G80 ,20,64,16.26,6000,Black, Full HD ,0,4.2,16999
LAVA,3,32,512, MediaTek Helio | A20 ,5,8,16.51,5000,Striped Blue, HD ,1,4.1,8499
OPPO,8,256,1024, MediaTek Dimensity | 900 ,32,64,16.33,4500,Starry Black, Full HD ,1,4.2,37990
Mi,8,128,1024, Qualcomm Snapdragon | 778G ,20,64,16.64,4250,Vinyl Black, Full HD ,0,4.3,33999
SAMSUNG,6,128,1024, Qualcomm Snapdragon | 778G ,32,64,16.51,4500,Awesome White, Full HD ,1,4.2,38999
Mi,8,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,5160,Camo Green, Full HD AMOLED ,1,4.2,31999
OPPO,3,32,256, MediaTek Helio | P35 (MT6765) ,5,13,16.56,4230,Dynamic Black, HD ,1,4.3,12990
Tecno,3,32,256, MediaTek Helio | A25 ,8,16,16.56,5000,Turquoise Cyan, HD ,0,4,11499
Tecno,3,32,256, MediaTek Helio | A25 ,8,16,16.56,5000,Atlantic Blue, HD ,0,4,11499
SAMSUNG,6,128,1024, MediaTek Dimensity | 700 (MT6833V) ,8,48,16.76,5000,Gray, Full HD ,1,4.2,22499
Tecno,3,32,256, Helio A22 ,5,8,16.56,6000,Ice Blue, HD ,0,4,10999
realme,4,64,1024, MediaTek Dimensity | 700 (MT6833) ,16,48,16.51,5000,Supersonic Black, Full HD ,0,4.3,15999
vivo,8,128,1024, MediaTek Helio | G80 ,16,64,16.71,5000,Fantastic Rainbow, Full HD ,0,4.2,22990
